Age,Income,Credit_Score,Debt_to_Income_Ratio,Existing_Loan_Balance,Loan_Amount,Interest_Rate,Loan_Duration_Months,Gender_Female,Gender_Male,Employment_Status_Employed,Employment_Status_Unemployed,Location_Suburban,Location_Urban,Loan_Status_Non-Default
56,91910.323246346,615,0.4626007742592106,3580.2035398146527,27160.609601726603,11.562542767185993,27,0,1,1,0,0,1,1
46,81880.54790407568,702,0.6376175030072346,38762.09847953029,22931.663587272247,5.241453465070276,54,0,1,0,0,0,1,1
32,89696.08290333519,747,0.431507343660326,8412.342168330322,6787.29937556407,6.928529101108662,55,0,0,0,1,1,0,1
60,37123.17534159726,846,0.4216202781978025,2051.0773697701325,29646.93466490195,14.422940695667455,17,0,1,0,0,1,0,1
25,67655.47966508546,425,0.4310390933817773,29518.95796476156,11137.76967714948,10.970185742668617,21,0,1,0,1,0,0,0
38,27487.13056579381,795,0.7445771828141319,33429.68184412165,25771.10642156831,11.447400256408672,27,0,1,1,0,0,1,0
56,36182.461403150075,344,0.7867908702520101,38013.95821009752,18902.137804013888,18.838414543085804,66,1,0,0,0,0,1,0
36,44792.178186981466,630,0.8705383222838033,4389.215962889681,16737.948408445558,6.655705457630869,64,0,1,0,0,0,1,1
40,79265.00732080183,371,0.24298727402627066,8586.249378836352,48088.59378353197,12.379861613556676,16,1,0,1,0,0,0,1
28,21977.150351078664,397,0.1575047567861746,9115.870503436214,40446.12247585706,12.035904799447177,65,1,0,0,0,0,0,1
28,92249.38262977092,570,0.3451279159728005,29682.013787992597,10378.608912775582,10.567995669235367,55,1,0,0,1,0,1,1
41,25664.281097033734,706,0.4204480035317704,44486.07068077383,19231.42901681257,17.110297992482874,12,1,0,0,0,0,1,0
53,50119.21562757016,743,0.7018676586939647,35321.35248101285,36651.23587652361,12.636721557623401,16,1,0,0,0,1,0,0
57,26487.17026628673,390,0.7579304338516347,15735.371308881387,42060.14790131587,16.947141060274447,23,0,1,0,1,1,0,0
41,81517.4274482699,416,0.9841528668425304,42658.00927457094,28692.891142623117,17.62044995533005,59,0,0,0,1,0,0,1
20,31305.197872220542,813,0.3782226288028385,33489.68045552608,45513.47904558879,4.2109590170652975,49,0,1,1,0,0,1,1
39,90780.5528209966,342,0.4025198289854349,34422.352241233435,21271.105658158773,18.943144861815988,48,1,0,1,0,1,0,1
19,62417.75892732209,370,0.5420799741872739,47868.00701877784,8425.829201232164,15.973166001118884,31,1,0,1,0,1,0,1
41,95877.8255564317,443,0.8203354778252082,47518.23206454127,47368.17849874453,11.233603362237167,62,0,0,1,0,0,1,0
61,43228.87302465562,641,0.6609340088002897,19283.634503160152,23618.908257935702,16.939121342125013,19,1,0,1,0,0,1,1
47,56345.29215027129,406,0.5726594249824188,31791.74983153243,6038.595195917093,6.908042389239638,19,0,1,0,1,1,0,0
55,75539.75698636624,685,0.6481219629746756,10101.014823790838,37363.99711161806,16.929988016589952,18,1,0,1,0,0,1,1
19,86553.06500567685,755,0.4644503919596463,20595.612697759454,16330.183646695576,12.457079391197565,41,1,0,0,1,0,1,1
38,53708.567019648544,593,0.7590535690628589,13670.649043550087,9095.69635992597,10.551926770622345,55,0,1,0,1,0,0,1
50,91394.60306617312,475,0.07529571105390033,18368.247520252084,42982.948391279206,12.705436310622016,62,1,0,0,1,1,0,0
29,29438.976665951617,406,0.5090239762545689,33770.318184369025,15915.750140036682,15.180961934956287,30,1,0,1,0,1,0,1
39,76694.77750480763,385,0.8065776510880917,10512.258866024233,29451.72578089047,7.715015442510299,36,0,0,1,0,0,0,1
61,47855.91857709283,809,0.3025190774898352,9016.448960417256,32551.950409775738,4.657243522579286,26,1,0,1,0,0,0,0
42,28106.83873060776,526,0.8434160407115612,18966.92018376969,47525.6169172022,18.415708132239427,62,0,1,1,0,1,0,1
44,50933.1645441603,628,0.7828322401048179,4906.896761552372,22841.902237909908,19.15889027338469,71,0,1,0,1,1,0,1
59,90417.24995884542,250,0.5806691462217529,40694.687245425695,27563.310786275168,13.619635899252186,60,0,0,1,0,0,1,0
45,98442.7097030912,250,0.25214857850553163,47924.929610191415,18575.97615753729,11.681063839174133,66,0,0,0,1,0,1,1
33,51423.988568038614,250,0.8610742157159332,40066.83748752525,25988.791211800835,3.916582748907608,12,0,1,1,0,1,0,1
32,90913.31102451,250,0.029968875667423456,26570.403067379433,5318.1061353121995,10.06749379393856,36,0,1,1,0,0,1,1
64,60772.35329935027,250,0.5925132362146903,33706.831938383766,43641.400312353195,8.784971700776445,66,1,0,0,1,0,1,1
61,77361.20301311532,250,0.7825646671754929,40278.919163125385,7967.833545378938,9.517591076356693,46,0,1,1,0,0,1,1
20,23629.713781905848,250,0.4854028740549956,3411.419912630032,16073.925676170711,15.229026042157544,39,0,1,0,1,0,0,1
54,64584.957758721874,250,0.1028561257423305,20906.199942531628,37359.65581468317,9.141248292965237,32,0,1,0,1,1,0,1
24,25612.954896879237,250,0.8339815789661605,7189.0216686915965,33869.711686040646,16.44902766214485,34,0,1,1,0,1,0,1
38,41489.43656750394,250,0.9090880711144432,4537.149168321808,38829.04326420632,19.843071589873322,40,1,0,1,0,1,0,1
26,65345.14606949429,629,0.5633096934766146,37948.652964301305,27736.000239371966,12.287307565915713,44,1,0,0,1,0,1,1
56,84573.10131373443,847,0.7871546531018042,42903.54263804757,46786.90783928666,7.719152963373207,37,0,1,0,1,0,1,0
35,64871.49150431285,397,0.6107147867703917,4189.791669576859,47524.76660072977,19.28356443009168,66,0,1,1,0,0,0,1
21,94895.3232892168,444,0.5732829497853347,8940.090633943815,39106.03754323629,15.440503223164091,57,0,1,0,1,0,0,1
42,84826.60060606683,426,0.13077199871020218,11041.057384766194,19476.65986294213,6.821888707889228,65,1,0,1,0,1,0,1
31,32499.211688408213,603,0.4367926130526213,42847.654881610266,6852.027241261619,19.904439791705773,24,0,1,1,0,0,0,1
26,51116.67885023499,678,0.6787937497027094,45678.44824099375,29719.85160515337,3.1742327653578046,15,1,0,1,0,0,0,0
43,73478.8341845423,446,0.4544830619014615,38248.75379043197,5407.634746361945,12.791872497044189,44,1,0,1,0,0,1,1
19,95072.48252874322,380,0.617764543711161,39818.8377817305,41422.6407175336,14.636154536559086,21,0,1,1,0,1,0,1
37,99017.26949957367,541,0.8948086831694392,17134.45766911894,31462.003837101303,6.101208911616472,50,0,1,1,0,1,0,1
45,150000.0,847,0.36622163167649857,20415.73617295811,32851.56374406353,3.872490415555638,31,0,1,1,0,0,0,1
64,150000.0,366,0.8284866261335234,14024.463392724298,7719.207138656479,3.1256640696462785,49,1,0,1,0,0,1,1
24,150000.0,774,0.029045184016429526,47919.00629303512,31363.322269276297,18.743031611509842,61,0,0,0,1,0,0,1
61,150000.0,732,0.8526622753097275,36382.820938461264,13088.176164655702,12.90743604121768,42,0,1,1,0,0,0,1
25,150000.0,601,0.1066772963342566,17067.28737191342,23118.056929808376,5.9087230636251995,24,0,0,0,1,1,0,1
64,150000.0,674,0.32144072387221323,6783.765527171981,19362.669872882725,13.46632798252818,45,0,1,0,1,0,1,1
52,150000.0,377,0.5134447109292908,9740.485346396908,16083.1830688336,3.0427503645619725,22,0,0,1,0,0,0,0
31,150000.0,329,0.650035140801634,10204.180952105351,25118.190940500634,9.352609905660016,38,1,0,1,0,0,0,1
34,150000.0,651,0.9531119684978748,30740.555181445416,39287.01975349543,16.054914703562467,18,1,0,1,0,0,1,1
53,150000.0,414,0.30703036322885424,45147.817070613964,15494.953379201408,4.694683036042887,60,1,0,0,0,0,0,1
57,88122.46442299949,631,0.08534875738878323,43433.887512095964,27971.5398312179,13.263574692835755,26,1,0,0,1,1,0,1
21,69853.85944251143,804,0.4588356074625435,3485.876367484447,21049.302649070123,8.367205883409063,66,0,0,0,0,0,0,0
19,47807.35057838103,453,0.3452682007105985,35452.83869542968,34437.72055951436,4.675520493895945,22,1,0,1,0,1,0,1
23,69527.08522190407,834,0.6001191197161106,8384.307434205406,30517.48867686523,17.018881645526903,13,1,0,0,1,1,0,1
59,66755.91234492103,668,0.9227825320256596,15517.92585869418,34252.64816130275,12.320736158346927,22,0,1,1,0,1,0,1
21,68522.04046371928,657,0.6433581057931433,27190.33456207583,49202.88490767771,16.450771553648664,57,0,1,0,1,1,0,1
46,69540.81710301772,601,0.5780142563480511,42045.909884810186,27814.51743812523,19.464189569061393,52,0,0,1,0,1,0,1
35,87764.6552697356,750,0.2460845815585919,11837.275569166955,9624.979267785744,6.120612629307594,56,1,0,0,1,1,0,1
43,33606.521061386426,606,0.264764190104111,43691.513867826805,7016.967778522404,5.327942384921569,66,1,0,0,1,0,0,1
61,49383.515809213444,362,0.4360758936828817,36737.05547526172,7266.903630493369,19.674548027923123,52,1,0,0,1,0,1,1
51,66880.13818805691,575,0.8912923838920971,33713.15808005451,20847.95315396085,6.966141381275145,36,0,0,1,0,0,0,1
